State,County,% Fair or Poor Health,% Low birthweight,% Smokers,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia rate per 100000,Teen Birth Rate,Primary Care Physicians Ratio,Dentist Ratio,Mental Health Provider Ratio,% With Annual Mammogram,% Vaccinated (Influenza),% Children in Poverty,Income Ratio (80th% : 20th%),% Children in Single-Parent Households,Social Association Rate,Annual Average Violent Crimes,Violent Crime Rate,Injury Death Rate,Average Daily Air Polution above 2.5 ppm,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone
Arizona,Yavapai,17,7,18,7,23,85,22,17,218.7,25,1693:01:00,1479:01:00,522:01:00,42,43,17,4.2,22,8.5,527,300,125,6.1,Yes,18,76,28
Arizona,Yuma,26,6,17,6.3,24,84,17,23,561.4,38,2210:01:00,3340:01:00,1697:01:00,35,39,30,4.4,28,4,678,330,64,8.3,Yes,18,82,21
Arkansas,,23,9,24,5.1,30,64,17,26,587.9,36,1507:01:00,2103:01:00,423:01:00,38,48,22,4.8,29,12,15352,516,83,9.1,,14,83,27
Arkansas,Arkansas,28,10,25,5.4,39,48,15,36,645.6,53,1974:01:00,1943:01:00,920:01:00,34,43,24,5.9,31,12.9,88,473,101,8.3,No,10,85,15
Arkansas,Ashley,28,12,26,5.9,45,50,16,29,601.5,43,2506:01:00,2457:01:00,1310:01:00,34,43,25,5.4,28,14.5,67,321,89,8.3,Yes,13,83,24
Arkansas,Baxter,21,7,24,7.2,30,65,18,26,232.1,35,1343:01:00,1906:01:00,361:01:00,49,49,18,3.7,18,9.9,75,182,105,8.8,No,10,84,14
Arkansas,Benton,20,7,19,8.1,23,77,19,28,314.3,26,1662:01:00,2470:01:00,436:01:00,44,53,12,4.2,18,8.4,662,275,59,9.5,Yes,11,85,22
Arkansas,Boone,24,7,25,6.8,32,54,17,17,334.4,37,1339:01:00,1782:01:00,764:01:00,40,46,19,3.9,22,11.5,206,551,88,8.4,Yes,12,83,23
Arkansas,Bradley,29,10,25,6.5,37,67,15,17,589.1,41,1816:01:00,2691:01:00,3588:01:00,31,52,31,4.9,40,11.9,29,261,84,9.1,No,16,81,32
Arkansas,Calhoun,27,9,26,4.6,40,11,16,17,438.3,30,5277:01:00,,,35,34,20,5.1,33,13.3,11,211,119,9.2,No,12,84,30
Arkansas,Carroll,24,6,22,7.6,34,52,17,40,250.5,43,1882:01:00,3548:01:00,1234:01:00,36,46,19,4.4,15,13.5,94,337,113,8.3,Yes,16,81,24
Arkansas,Chicot,32,11,26,3.1,35,29,14,17,789.8,48,949:01:00,1445:01:00,169:01:00,37,28,45,6,43,11.5,41,367,105,8.6,No,17,78,28
Arkansas,Clark,23,9,21,5.5,39,67,15,37,816.4,18,2206:01:00,2029:01:00,360:01:00,38,48,23,4.6,36,14.5,75,329,66,9.5,No,13,78,26
Arkansas,Clay,27,8,28,6.5,35,52,17,30,268.1,51,14847:1,2079:01:00,1213:01:00,33,33,26,5.2,33,14.1,33,221,128,9.2,No,13,82,34
Arkansas,Cleburne,23,8,25,7.3,33,66,18,26,267.5,38,1664:01:00,2492:01:00,890:01:00,40,46,22,3.9,18,14.4,94,367,111,9.2,No,10,81,33
Arkansas,Cleveland,25,8,25,6.9,34,1,16,18,280.4,25,,,,40,46,20,4.7,26,6.2,8,95,98,9.1,No,8,89,55
Arkansas,Columbia,27,12,25,6.3,37,42,14,47,922.7,25,1681:01:00,2346:01:00,533:01:00,37,48,27,5.7,32,14.4,76,317,78,9.4,Yes,14,85,18
Arkansas,Conway,25,9,25,6.6,34,43,17,26,387.3,40,1492:01:00,2085:01:00,372:01:00,30,31,23,4.7,28,13.9,45,211,88,9.5,Yes,12,81,39
Arkansas,Craighead,23,10,22,6.7,33,65,15,19,780.5,33,868:01:00,1329:01:00,266:01:00,44,53,25,4.7,31,8.8,450,431,71,9.4,Yes,15,84,15
Arkansas,Crawford,24,8,24,7,29,74,16,31,347.6,39,2536:01:00,5271:01:00,2109:01:00,38,47,28,4.2,27,7.3,234,380,68,9.7,No,12,86,26
Arkansas,Crittenden,30,14,24,6.6,39,73,13,21,1364.1,53,3223:01:00,1547:01:00,444:01:00,39,41,32,4.8,44,9.3,624,1274,99,8.4,Yes,18,82,30
Arkansas,Cross,27,11,26,6.8,37,50,16,19,717.5,45,2779:01:00,2052:01:00,1026:01:00,27,44,26,4.4,34,19.2,115,664,103,9,Yes,12,82,30
Arkansas,Dallas,27,12,25,5.7,47,18,15,33,527.5,22,7182:01:00,3505:01:00,350:01:00,33,36,32,4.9,35,19.5,46,597,85,9.3,No,8,84,36
Arkansas,Desha,33,15,28,4.7,35,60,13,45,918.1,45,2302:01:00,3787:01:00,1623:01:00,30,41,39,4.6,50,16.5,62,730,89,8.7,Yes,13,86,17
Arkansas,Drew,25,10,24,6.3,32,40,15,28,620,32,1527:01:00,4555:01:00,160:01:00,29,45,25,6.1,18,10.9,68,362,78,8.9,Yes,13,83,28
Arkansas,Faulkner,21,7,21,7.2,27,55,17,23,536.2,23,1863:01:00,2520:01:00,663:01:00,37,50,16,5,22,9.2,441,361,66,9.9,No,16,84,38
Arkansas,Franklin,27,8,27,6.8,33,66,16,16,240.4,35,3562:01:00,5905:01:00,17715:1,36,48,23,5.7,14,10.7,76,427,89,9.1,No,15,83,44
Arkansas,Fulton,27,7,28,5.8,33,44,16,12,224,39,1753:01:00,6239:01:00,2080:01:00,39,40,27,4.4,20,7.3,23,184,93,8.7,No,16,82,26
Arkansas,Garland,23,9,23,6.4,29,78,17,27,477.4,40,1153:01:00,1744:01:00,367:01:00,39,56,24,4.7,30,11.2,512,645,121,8.6,Yes,16,82,23
Arkansas,Grant,21,9,23,7.4,38,27,18,16,220.2,28,9094:01:00,2283:01:00,961:01:00,37,56,16,5.1,19,8.8,46,254,88,9.4,No,13,86,52
Arkansas,Greene,24,8,25,6.6,35,40,17,13,499.4,48,1813:01:00,3238:01:00,498:01:00,41,50,20,4.3,30,11,167,379,91,9.3,No,11,83,28
