county_name,crime rate per 100000,Murder rate per 100000,Rape rate per 100000,Robbery rate per 100000,Aggrevated Assault rate per 100000,Burglery rate per 100000,Larceny rate per 100000,Motor Vehicle Theft rate per 100000,Arson rate per 100000
"Chittenden County, VT",146.6946682,0.626900292,22.56841049,20.06080933,103.4385481,635.0499953,2339.591888,36.9871172,9.403504373
"Washburn County, WI",146.627566,0,25.50044626,0,121.1271197,401.6320286,1236.771644,63.75111564,0
"Brunswick County, NC",146.5728831,0.867295167,20.815084,21.68237916,103.2081248,1163.042818,1653.064587,111.0137813,16.47860816
"Jackson County, CO",146.5201465,0,0,0,146.5201465,146.5201465,293.040293,0,0
"Columbia County, WI",146.505922,0,26.47697386,5.295394772,114.7335534,395.3894763,1209.11514,47.65855295,7.060526362
"Fulton County, AR",146.2938882,0,24.38231469,8.127438231,113.7841352,276.3328999,1202.860858,89.40182055,8.127438231
"Wise County, TX",146.047687,1.640985248,13.12788198,11.48689673,119.7919231,385.6315332,955.0534141,90.25418861,1.640985248
"Bradford County, PA",146.0299121,0,40.11810771,8.023621542,97.88818281,455.7417036,1412.157391,88.25983696,24.07086463
"Columbia County, OR",145.9143969,0,28.37224384,12.15953307,105.38262,358.7062257,1220.006485,123.6219196,14.18612192
"Transylvania County, NC",145.8833541,0,18.23541926,24.31389235,103.3340425,534.9056317,1100.203629,66.86320396,6.078473088
"Greer County, OK",145.8434614,0,16.20482904,16.20482904,113.4338033,162.0482904,405.120726,64.81931616,16.20482904
"Gibson County, IN",145.7812686,0,14.87563965,5.950255861,127.930501,249.9107462,1160.299893,65.45281447,14.87563965
"Cassia County, ID",145.7288586,8.5722858,38.5752861,4.2861429,94.2951438,300.030003,1152.97244,68.5782864,0
"Charlevoix County, MI",145.4322783,0,95.67913047,0,49.75314784,229.6299131,1201.729879,34.44448697,7.654330437
"Smyth County, VA",145.3304688,6.318716037,6.318716037,22.11550613,110.5775306,413.8759004,1709.212688,78.98395046,56.86844433
"Madison County, TX",145.1273492,0,14.51273492,36.28183731,94.33277701,420.8693128,863.507728,166.8964516,0
"Logan County, KY",145.1108796,3.720791784,26.04554249,29.76633428,81.85741926,580.4435184,1052.984075,70.69504391,26.04554249
"Colfax County, NM",145.1046281,0,22.91125706,22.91125706,99.28211395,1283.030396,1168.47411,114.5562853,30.54834275
"Grundy County, MO",144.8575567,9.657170449,9.657170449,0,125.5432158,666.344761,1583.775954,115.8860454,9.657170449
"Sabine County, TX",144.7736705,0,19.30315607,48.25789017,77.21262426,386.0631213,781.7778207,28.9547341,19.30315607
"Mason County, KY",144.6926728,0,34.72624146,28.93853455,81.02789675,804.4912606,2286.14423,92.60331057,17.36312073
"Dallas County, IA",144.6925952,1.339746252,9.378223764,4.019238756,129.9553864,258.5710266,1126.726598,57.60908884,8.038477512
"Monroe County, GA",144.5300919,0,7.411799585,22.23539875,114.8828936,466.9433739,1330.418025,137.1182923,14.82359917
"San Juan County, CO",144.5086705,0,0,0,144.5086705,578.0346821,1589.595376,144.5086705,0
"Caledonia County, VT",144.4298232,3.209551626,12.8382065,19.25730975,109.1247553,821.6452162,1270.982444,70.61013576,9.628654877
"Hot Springs County, WY",144.4192284,0,0,0,144.4192284,288.8384568,1402.929647,41.26263668,20.63131834
"Jefferson Davis Parish, LA",143.7653749,0,22.36350276,35.1426472,86.25922494,309.8942526,1619.756557,115.0122999,3.194786109
"Erath County, TX",143.7288819,0,27.73715266,7.564677997,108.4270513,547.1783751,1666.750719,78.1683393,7.564677997
"York County, ME",143.4079957,3.008559351,30.58702007,27.07703416,82.73538216,513.9622225,1707.357432,67.69258541,19.55563578
"Umatilla County, OR",143.3785193,5.213764338,18.24817518,23.46193952,96.45464025,741.6579771,2288.842544,377.9979145,19.55161627
"Choctaw County, MS",143.3520487,0,23.89200812,0,119.4600406,238.9200812,513.6781747,35.83801218,0
"Williamson County, TX",143.0955343,0.636923743,20.80617561,26.75079722,94.90163774,297.655696,1449.213824,58.80929229,7.006161176
"Greensville County, VA",143.025408,0,8.413259297,0,134.6121487,294.4640754,656.2342251,50.47955578,8.413259297
